data,preco_fechamento
2025-01-02,98.45
2025-01-03,97.73
2025-01-06,98.73
2025-01-07,98.50
2025-01-08,97.00
2025-01-09,97.02
2025-01-10,98.19
2025-01-13,97.85
2025-01-14,98.37
2025-01-15,98.80
2025-01-16,99.36
2025-01-17,96.06
2025-01-20,96.05
2025-01-21,95.15
2025-01-22,95.59
2025-01-23,95.57
2025-01-24,95.01
2025-01-27,96.15
2025-01-28,95.92
2025-01-29,96.20
2025-01-30,97.98
2025-01-31,97.50
2025-02-03,97.45
2025-02-04,96.50
2025-02-05,97.95
2025-02-06,97.98
2025-02-07,97.94
2025-02-10,98.07
2025-02-11,97.80
2025-02-12,98.07
2025-02-13,98.00
2025-02-14,98.10
2025-02-17,98.74
2025-02-18,98.95
2025-02-19,97.64
2025-02-20,96.76
2025-02-21,97.14
2025-02-24,96.46
2025-02-25,96.34
2025-02-26,95.70
2025-02-27,95.51
2025-02-28,95.25
2025-03-05,95.80
2025-03-06,96.30
2025-03-07,96.60
2025-03-10,96.65
2025-03-11,96.15
2025-03-12,97.15
2025-03-13,96.99
2025-03-14,97.37
2025-03-17,97.75
2025-03-18,98.30
2025-03-19,97.70
2025-03-20,98.89
2025-03-21,98.50
2025-03-24,99.84
2025-03-25,99.90
2025-03-26,100.50
2025-03-27,100.67
2025-03-28,101.20
2025-03-31,102.35
2025-04-01,103.30
2025-04-02,101.90
2025-04-03,103.40
2025-04-04,102.70
2025-04-07,101.12
2025-04-08,100.20
2025-04-09,100.09
2025-04-10,100.79
2025-04-11,101.30
2025-04-14,103.48
2025-04-15,103.90
2025-04-16,104.70
2025-04-17,104.72
2025-04-22,104.02
2025-04-23,104.79
2025-04-24,105.88
2025-04-25,106.81
2025-04-28,106.30
2025-04-29,106.30
2025-04-30,106.50
2025-05-02,106.90
2025-05-05,105.15
2025-05-06,104.21
2025-05-07,105.18
2025-05-08,105.52
2025-05-09,106.84
2025-05-12,106.40
2025-05-13,105.98
2025-05-14,105.63
2025-05-15,106.23
2025-05-16,106.51
2025-05-19,106.07
2025-05-20,104.40
2025-05-21,104.19
2025-05-22,104.33
2025-05-23,104.80
2025-05-26,104.73
2025-05-27,104.26
2025-05-28,104.34
2025-05-29,104.40
2025-05-30,104.60
2025-06-02,104.25
2025-06-03,103.95
2025-06-04,103.56
2025-06-05,103.10
2025-06-06,103.29
2025-06-09,102.18
2025-06-10,103.00
2025-06-11,103.60
2025-06-12,103.05
2025-06-13,104.18
2025-06-16,104.12
2025-06-17,103.71
2025-06-18,103.25
2025-06-20,101.19
2025-06-23,101.09
2025-06-24,102.41
2025-06-25,102.61
2025-06-26,103.39
2025-06-27,103.20
2025-06-30,104.15
2025-07-01,104.41
2025-07-02,104.07
2025-07-03,104.49
2025-07-04,105.44
2025-07-07,105.31
2025-07-08,104.75
2025-07-09,103.91
2025-07-10,103.46
2025-07-11,104.00
2025-07-14,103.30
2025-07-15,103.00
2025-07-16,102.98
2025-07-17,103.00
2025-07-18,102.90
2025-07-21,101.63
2025-07-22,100.89
2025-07-23,100.62
2025-07-24,100.90
2025-07-25,101.75
2025-07-28,101.31
2025-07-29,100.50
2025-07-30,100.45
2025-07-31,101.79
2025-08-01,102.34
2025-08-04,101.33
2025-08-05,100.77
2025-08-06,100.75
2025-08-07,100.50
2025-08-08,101.02
2025-08-11,100.82
2025-08-12,100.80
2025-08-13,100.47
2025-08-14,100.60
2025-08-15,100.35
2025-08-18,100.50
2025-08-19,99.16
2025-08-20,98.99
2025-08-21,98.53
2025-08-22,98.50
2025-08-25,98.60
2025-08-26,99.20
2025-08-27,99.70
2025-08-28,100.14
2025-08-29,101.90
2025-09-01,103.55
2025-09-02,103.67
2025-09-03,103.72
2025-09-04,104.00
2025-09-05,104.76
2025-09-08,104.90
2025-09-09,104.20
2025-09-10,103.90
2025-09-11,104.20
2025-09-12,105.10
2025-09-15,105.80
2025-09-16,106.10
2025-09-17,106.90
2025-09-18,106.17
2025-09-19,104.98
2025-09-22,104.85
2025-09-23,104.58
2025-09-24,105.00
2025-09-25,105.61
2025-09-26,105.83
2025-09-29,105.10
2025-09-30,105.30
2025-10-01,105.10
2025-10-02,104.87
2025-10-03,106.00
2025-10-06,105.52
2025-10-07,105.17
2025-10-08,106.19
2025-10-09,106.14
2025-10-10,105.65
2025-10-13,106.10
2025-10-14,105.89
2025-10-15,106.90
2025-10-16,106.00
2025-10-17,106.17
2025-10-20,104.40
2025-10-21,104.54
2025-10-22,104.50
2025-10-23,104.95
2025-10-24,104.50
