data,valor
2010-12-30,1000.00
2011-01-03,1001.11
2011-01-04,992.56
2011-01-05,998.65
2011-01-06,996.31
2011-01-07,1000.82
2011-01-10,997.73
2011-01-11,990.41
2011-01-12,981.44
2011-01-13,998.71
2011-01-14,1001.36
2011-01-17,1002.43
2011-01-18,1000.06
2011-01-19,999.02
2011-01-20,1002.54
2011-01-21,1000.56
2011-01-24,999.67
2011-01-26,999.98
2011-01-27,998.16
2011-01-28,997.54
2011-01-31,1005.64
2011-02-01,1002.03
2011-02-02,1002.10
2011-02-03,1003.65
2011-02-04,1014.90
2011-02-07,1004.63
2011-02-08,998.88
2011-02-09,1000.51
2011-02-10,1000.44
2011-02-11,1011.24
2011-02-14,1007.04
2011-02-15,1008.92
2011-02-16,1005.62
2011-02-17,1004.74
2011-02-18,997.49
2011-02-21,996.58
2011-02-22,998.90
2011-02-23,999.17
2011-02-24,1003.90
2011-02-25,1000.19
2011-02-28,1000.48
2011-03-01,1002.86
2011-03-02,1005.21
2011-03-03,1007.91
2011-03-04,1009.58
2011-03-09,1010.78
2011-03-10,1010.63
2011-03-11,1012.33
2011-03-14,1012.32
2011-03-15,1012.85
2011-03-16,1009.22
2011-03-17,1006.09
2011-03-18,1012.38
2011-03-21,1010.65
2011-03-22,1015.15
2011-03-23,1020.94
2011-03-24,1019.06
2011-03-25,1021.31
2011-03-28,1025.49
2011-03-29,1024.78
2011-03-30,1029.81
2011-03-31,1028.25
2011-04-01,1036.93
2011-04-04,1037.78
2011-04-05,1038.07
2011-04-06,1041.71
2011-04-07,1047.22
2011-04-08,1040.97
2011-04-11,1039.20
2011-04-12,1051.87
2011-04-13,1045.28
2011-04-14,1052.26
2011-04-15,1056.77
2011-04-18,1046.97
2011-04-19,1045.73
2011-04-20,1047.63
2011-04-25,1046.06
2011-04-26,1043.98
2011-04-27,1052.53
2011-04-28,1052.26
2011-04-29,1046.39
2011-05-02,1048.61
2011-05-03,1041.12
2011-05-04,1044.89
2011-05-05,1043.55
2011-05-06,1044.37
2011-05-09,1041.19
2011-05-10,1046.48
2011-05-11,1044.55
2011-05-12,1043.50
2011-05-13,1041.16
2011-05-16,1046.61
2011-05-17,1045.69
2011-05-18,1041.26
2011-05-19,1030.69
2011-05-20,1036.78
2011-05-23,1034.42
2011-05-24,1040.36
2011-05-25,1040.08
2011-05-26,1042.36
2011-05-27,1044.06
2011-05-30,1039.43
2011-05-31,1040.60
2011-06-01,1035.27
2011-06-02,1040.62
2011-06-03,1035.85
2011-06-06,1035.75
2011-06-07,1034.33
2011-06-08,1035.72
2011-06-09,1039.04
2011-06-10,1041.81
2011-06-13,1041.63
2011-06-14,1039.99
2011-06-15,1041.87
2011-06-16,1041.31
2011-06-17,1041.24
2011-06-20,1047.21
2011-06-21,1044.84
2011-06-22,1046.20
2011-06-24,1048.95
2011-06-27,1049.02
2011-06-28,1047.44
2011-06-29,1048.66
2011-06-30,1056.10
2011-07-01,1065.34
2011-07-04,1055.80
2011-07-05,1061.51
2011-07-06,1063.13
2011-07-07,1058.00
2011-07-08,1060.03
2011-07-11,1059.83
2011-07-12,1059.58
2011-07-13,1065.89
2011-07-14,1069.28
2011-07-15,1072.49
2011-07-18,1078.44
2011-07-19,1075.95
2011-07-20,1075.92
2011-07-21,1081.77
2011-07-22,1079.50
2011-07-25,1086.42
2011-07-26,1081.71
2011-07-27,1089.52
2011-07-28,1088.56
2011-07-29,1084.51
2011-08-01,1089.71
2011-08-02,1090.69
2011-08-03,1083.95
2011-08-04,1080.59
2011-08-05,1083.27
2011-08-08,1074.65
2011-08-09,1080.38
2011-08-10,1082.54
2011-08-11,1082.19
2011-08-12,1081.46
2011-08-15,1081.87
2011-08-16,1078.69
2011-08-17,1083.25
2011-08-18,1082.69
2011-08-19,1082.77
2011-08-22,1086.54
2011-08-23,1090.49
2011-08-24,1086.58
2011-08-25,1089.10
2011-08-26,1088.70
2011-08-29,1089.44
2011-08-30,1091.75
2011-08-31,1092.91
2011-09-01,1092.72
2011-09-02,1094.70
2011-09-05,1094.41
2011-09-06,1096.45
2011-09-08,1093.18
2011-09-09,1097.94
2011-09-12,1102.09
2011-09-13,1100.02
2011-09-14,1098.77
2011-09-15,1100.91
2011-09-16,1105.67
2011-09-19,1103.54
2011-09-20,1106.39
2011-09-21,1103.37
2011-09-22,1104.84
2011-09-23,1107.21
2011-09-26,1103.69
2011-09-27,1116.87
2011-09-28,1112.46
2011-09-29,1111.60
2011-09-30,1111.17
