data,cotistas
2025-09-30,608916
2025-08-29,608916
2025-07-31,608916
2025-06-30,604158
2025-05-30,598439
2025-04-30,592434
2025-03-31,588620
2025-02-28,582781
2025-01-31,573287
2024-12-31,567637
2024-11-29,560633
2024-10-31,555889
2024-09-30,547001
2024-08-30,535741
2024-07-31,527538
2024-06-28,516624
2024-05-31,508007
2024-04-30,474668
2024-03-28,464384
2024-02-29,452356
2024-01-31,437270
2023-12-29,409164
2023-11-30,396609
2023-10-31,384432
2023-09-29,370163
2023-08-31,357599
2023-07-31,336875
2023-06-30,325070
2023-05-31,317438
2023-04-28,312556
2023-03-31,308245
2023-02-28,304996
2023-01-31,300598
2022-12-30,293082
2022-11-30,287425
2022-10-31,285219
2022-09-30,281109
2022-08-31,275203
2022-07-29,269789
2022-06-30,264420
2022-05-31,259307
2022-04-29,256424
2022-03-31,255243
2022-02-25,255614
2022-01-31,254916
2021-12-31,253271
2021-11-30,253698
2021-10-29,255673
2021-09-30,255132
2021-08-31,255027
2021-07-30,254601
2021-06-29,250498
2021-05-31,251800
2021-04-30,252767
2021-03-30,254134
2021-02-28,255172
2021-01-29,252569
2020-12-31,248220
2020-11-30,244963
2020-10-30,242852
2020-09-30,237530
2020-08-31,229436
2020-07-31,200040
2020-06-30,209444
2020-05-31,200040
2020-05-31,200040
2020-05-31,200040
2020-05-31,200040
2020-05-31,200040
2020-04-30,193263
2020-03-01,186468
2020-02-01,181946
2020-01-31,175606
2019-12-31,154629
2019-11-30,136071
2019-10-31,112836
2019-09-30,95404
2019-08-31,84520
2019-07-31,74361
2019-06-30,64378
2019-05-31,60415
2019-04-30,54780
2019-03-31,44848
2019-02-28,33779
2019-01-31,20757
2018-12-31,16238
2018-11-30,13120
2018-10-31,10750
2018-09-30,10449
2018-08-31,10430
2018-07-31,10299
2018-06-30,9660
2018-05-31,8809
2018-04-30,8126
2018-03-31,7496
2018-02-28,6460
2018-01-01,5558
2017-12-01,5321
