data,preco_BOVA11,preco_DIVO11
2020-01-02,114.24,70.12
2020-01-03,113.80,69.70
2020-01-06,112.59,69.25
2020-01-07,112.24,69.18
2020-01-08,111.95,68.85
2020-01-09,111.66,68.30
2020-01-10,111.28,68.90
2020-01-13,113.08,69.48
2020-01-14,113.32,70.50
2020-01-15,112.18,69.87
2020-01-16,112.35,70.10
2020-01-17,114.10,70.39
2020-01-20,114.41,71.00
2020-01-21,112.65,70.31
2020-01-22,114.10,71.10
2020-01-23,115.21,71.50
2020-01-24,114.00,70.95
2020-01-27,110.29,69.15
2020-01-28,112.30,70.15
2020-01-29,110.88,69.64
2020-01-30,111.19,69.50
2020-01-31,108.90,68.00
2020-02-03,110.42,68.90
2020-02-04,111.21,69.15
2020-02-05,111.77,69.72
2020-02-06,110.95,68.94
2020-02-07,109.35,68.20
2020-02-10,108.79,67.40
2020-02-11,111.30,68.75
2020-02-12,112.45,69.50
2020-02-13,110.90,68.70
2020-02-14,110.08,69.09
2020-02-17,110.80,68.93
2020-02-18,111.14,68.50
2020-02-19,112.08,69.43
2020-02-20,110.20,69.03
2020-02-21,109.45,69.10
2020-02-26,101.90,65.00
2020-02-27,99.20,63.10
2020-02-28,100.60,63.60
2020-03-02,102.99,65.50
2020-03-03,101.75,66.00
2020-03-04,103.10,67.40
2020-03-05,98.79,64.75
2020-03-06,94.40,63.00
2020-03-09,82.70,58.00
2020-03-10,88.63,59.80
2020-03-11,82.06,57.80
2020-03-12,70.10,50.33
2020-03-13,79.49,55.00
2020-03-16,68.40,49.25
2020-03-17,71.00,50.95
2020-03-18,65.01,46.70
2020-03-19,65.00,46.65
2020-03-20,64.77,45.16
2020-03-23,61.14,42.83
2020-03-24,67.40,44.50
2020-03-25,71.73,47.32
2020-03-26,74.57,50.25
2020-03-27,70.22,48.50
2020-03-30,71.97,48.50
2020-03-31,69.35,47.38
2020-04-01,68.18,46.20
2020-04-02,69.63,45.90
2020-04-03,66.90,44.60
2020-04-06,71.57,46.95
2020-04-07,73.51,48.50
2020-04-08,75.73,48.80
2020-04-09,74.87,49.50
2020-04-13,75.96,49.32
2020-04-14,76.85,50.80
2020-04-15,76.05,50.60
2020-04-16,74.93,50.00
2020-04-17,76.00,49.50
2020-04-20,75.66,49.80
2020-04-22,77.70,50.64
2020-04-23,76.65,50.05
2020-04-24,72.41,47.60
2020-04-27,75.29,48.45
2020-04-28,78.30,49.90
2020-04-29,80.18,51.20
2020-04-30,77.21,49.85
2020-05-04,76.10,48.04
2020-05-05,76.54,48.50
2020-05-06,76.20,48.00
2020-05-07,75.40,46.76
2020-05-08,77.43,47.00
2020-05-11,76.14,47.20
2020-05-12,75.00,46.00
2020-05-13,75.15,45.55
2020-05-14,76.25,47.00
2020-05-15,74.56,46.30
2020-05-18,78.03,48.49
2020-05-19,77.65,47.48
2020-05-20,78.45,48.13
2020-05-21,79.97,49.01
2020-05-22,79.94,49.00
2020-05-25,82.60,50.52
2020-05-26,82.45,51.50
2020-05-27,84.68,51.99
2020-05-28,83.65,51.70
2020-05-29,84.15,52.34
2020-06-01,85.33,52.90
2020-06-02,87.78,54.00
2020-06-03,89.37,56.10
2020-06-04,90.31,55.80
2020-06-05,91.05,56.22
2020-06-08,93.95,58.43
2020-06-09,92.95,57.90
2020-06-10,91.17,56.30
2020-06-12,89.25,55.50
2020-06-15,89.07,55.50
2020-06-16,90.00,55.90
2020-06-17,91.95,57.50
2020-06-18,92.63,57.70
2020-06-19,92.64,58.30
2020-06-22,91.75,59.00
2020-06-23,92.26,58.20
2020-06-24,90.77,57.39
2020-06-25,92.39,57.50
2020-06-26,90.22,56.50
2020-06-29,92.30,57.34
2020-06-30,91.62,56.80
2020-07-01,92.68,57.84
2020-07-02,92.50,57.85
2020-07-03,93.19,58.00
2020-07-06,95.31,59.45
2020-07-07,94.10,58.60
2020-07-08,96.10,59.48
2020-07-09,95.41,59.00
2020-07-10,96.34,59.60
2020-07-13,95.05,58.75
2020-07-14,96.60,58.75
2020-07-15,98.03,59.31
2020-07-16,96.82,59.45
2020-07-17,99.13,60.03
2020-07-20,100.50,61.24
2020-07-21,100.29,60.45
2020-07-22,100.38,60.60
2020-07-23,98.40,59.71
2020-07-24,98.59,59.61
2020-07-27,100.46,60.28
2020-07-28,100.05,60.05
2020-07-29,101.48,60.26
2020-07-30,101.31,60.80
2020-07-31,99.29,60.20
2020-08-03,99.20,60.00
2020-08-04,97.60,59.00
2020-08-05,98.99,59.10
2020-08-06,100.17,60.76
2020-08-07,98.83,60.02
2020-08-10,99.54,59.74
2020-08-11,98.20,59.70
2020-08-12,98.33,59.00
2020-08-13,96.51,58.01
2020-08-14,97.47,58.55
2020-08-17,95.83,57.40
2020-08-18,98.25,58.12
2020-08-19,97.00,57.95
2020-08-20,97.67,57.68
2020-08-21,97.60,58.68
2020-08-24,98.50,58.58
2020-08-25,98.35,58.65
2020-08-26,96.63,57.80
2020-08-27,96.87,57.60
2020-08-28,98.30,58.53
2020-08-31,95.70,57.70
2020-09-01,98.35,58.30
2020-09-02,98.15,58.77
2020-09-03,96.96,58.50
2020-09-04,97.42,58.64
2020-09-08,96.80,58.48
2020-09-09,97.50,59.35
2020-09-10,95.04,57.65
2020-09-11,94.48,56.50
2020-09-14,96.51,57.55
2020-09-15,96.46,57.70
2020-09-16,95.91,57.25
2020-09-17,96.37,57.59
2020-09-18,94.64,56.00
2020-09-21,93.40,56.15
2020-09-22,93.67,56.16
2020-09-23,92.17,55.18
2020-09-24,93.30,55.90
2020-09-25,93.50,55.67
2020-09-28,91.20,54.67
2020-09-29,89.92,54.04
2020-09-30,91.05,54.90
2020-10-01,91.91,55.02
2020-10-02,90.11,54.65
2020-10-05,92.64,55.11
2020-10-06,92.03,55.01
2020-10-07,91.95,54.86
2020-10-08,94.27,56.00
2020-10-09,93.65,56.21
2020-10-13,94.80,56.46
2020-10-14,95.59,56.82
2020-10-15,95.34,57.23
2020-10-16,94.54,56.71
2020-10-19,95.00,56.70
2020-10-20,96.67,57.70
2020-10-21,96.65,58.00
2020-10-22,98.06,58.92
2020-10-23,97.44,58.42
2020-10-26,97.23,58.56
2020-10-27,95.68,58.09
2020-10-28,91.56,55.75
2020-10-29,92.80,56.16
2020-10-30,90.66,54.90
2020-11-03,92.26,55.95
2020-11-04,94.16,56.84
2020-11-05,96.95,58.62
2020-11-06,97.19,59.49
2020-11-09,99.50,60.65
2020-11-10,101.00,61.50
2020-11-11,100.89,60.88
2020-11-12,98.70,59.63
2020-11-13,100.83,60.95
2020-11-16,102.51,62.25
2020-11-17,103.10,62.65
2020-11-18,101.92,62.05
2020-11-19,102.73,62.20
2020-11-20,102.03,61.70
2020-11-23,103.28,62.35
2020-11-24,105.72,63.42
2020-11-25,105.83,63.31
2020-11-26,106.02,63.45
2020-11-27,106.44,63.80
2020-11-30,105.00,63.00
2020-12-01,107.05,64.30
2020-12-02,107.75,64.52
2020-12-03,108.15,65.00
2020-12-04,109.43,65.35
2020-12-07,109.31,65.30
2020-12-08,109.44,65.55
2020-12-09,108.77,65.17
2020-12-10,110.70,66.67
2020-12-11,110.79,67.48
2020-12-14,110.20,67.13
2020-12-15,111.76,67.70
2020-12-16,113.35,67.72
2020-12-17,113.99,68.00
2020-12-18,113.50,68.00
2020-12-21,111.43,66.94
2020-12-22,112.25,67.03
2020-12-23,113.14,68.00
2020-12-28,114.70,68.74
2020-12-29,114.97,69.12
2020-12-30,114.65,68.72
2021-01-14,118.68,70.27
2021-01-29,110.56,65.10
2021-02-12,115.05,66.70
2021-01-04,114.09,68.50
2021-01-15,115.78,69.50
2021-02-01,113.06,66.09
2021-02-17,115.86,66.10
2021-01-05,114.69,67.55
2021-01-18,116.54,68.61
2021-02-18,114.61,65.80
2021-01-06,114.55,67.80
2021-02-02,113.85,66.66
2021-01-19,116.00,67.85
2021-02-03,115.25,67.13
2021-01-07,118.37,68.80
2021-02-19,113.82,65.57
2021-01-20,115.24,67.23
2021-02-04,114.62,66.87
2021-01-08,120.40,70.12
2021-02-22,108.25,63.50
2021-01-21,113.81,66.71
2021-02-05,115.82,67.11
2021-01-22,113.18,65.80
2021-01-11,118.62,69.00
2021-02-23,110.76,64.55
2021-02-08,115.18,67.30
2021-02-24,111.46,64.67
2021-01-12,119.45,69.66
2021-01-26,112.08,65.38
2021-02-09,114.91,66.90
2021-02-25,107.53,62.90
2021-01-13,117.36,69.46
2021-01-27,110.96,65.55
2021-02-10,113.92,66.91
2021-03-01,105.94,61.18
2021-02-26,105.59,61.80
2021-01-28,114.51,67.17
2021-03-02,107.50,61.90
2021-02-11,114.90,66.61
2021-04-09,113.01,66.74
2021-03-15,110.66,64.24
2021-03-26,110.28,65.27
2021-03-03,107.16,61.90
2021-04-12,114.40,67.27
2021-03-29,110.96,65.50
2021-03-16,109.69,64.00
2021-03-04,108.57,62.90
2021-04-13,114.67,67.30
2021-03-30,112.43,66.87
2021-03-17,112.05,65.70
2021-03-05,110.93,64.25
2021-03-31,112.02,66.35
2021-04-14,115.60,67.85
2021-03-18,110.50,65.21
2021-03-08,105.35,61.99
2021-04-01,110.68,65.98
2021-03-19,111.70,65.61
2021-04-15,116.20,68.50
2021-03-09,107.19,61.41
2021-04-16,116.46,68.57
2021-04-05,113.21,66.70
2021-03-22,110.69,65.58
2021-03-10,108.63,62.11
2021-03-23,109.02,64.60
2021-04-19,116.34,68.67
2021-04-06,113.27,66.90
2021-03-11,110.45,63.55
2021-04-07,113.18,66.85
2021-03-24,107.87,64.39
2021-04-20,115.48,68.75
2021-03-12,109.68,63.87
2021-04-08,113.75,66.74
2021-03-25,109.38,64.60
2021-04-22,114.95,68.50
2021-04-26,115.95,69.25
2021-04-23,115.97,69.08
2021-04-27,114.78,68.18
2021-05-07,117.46,69.00
2021-05-20,117.91,70.26
2021-06-02,124.67,73.74
2021-05-10,117.14,68.79
2021-05-21,118.01,70.14
2021-04-28,116.40,68.80
2021-06-04,125.05,74.17
2021-05-24,119.26,70.11
2021-05-11,118.13,69.16
2021-05-25,118.40,70.07
2021-05-12,115.27,68.06
2021-06-07,125.75,74.41
2021-05-26,119.24,70.48
2021-05-13,116.04,68.43
2021-06-08,124.71,73.85
2021-04-29,115.32,68.80
2021-05-14,117.24,69.03
2021-05-27,119.59,70.71
2021-06-09,124.88,73.67
2021-04-30,114.40,68.27
2021-05-28,120.72,71.06
2021-06-10,125.00,73.81
2021-05-17,118.31,70.00
2021-05-31,121.25,71.51
2021-06-11,124.48,73.99
2021-05-03,114.68,67.70
2021-05-18,118.19,70.50
2021-06-01,123.33,73.24
2021-06-14,125.15,73.62
2021-05-19,118.01,70.18
2021-05-04,113.27,67.01
2021-06-15,125.18,73.54
2021-05-05,115.15,68.11
2021-06-16,124.22,72.80
2021-05-06,115.43,67.94
2021-06-17,123.09,72.58
2021-06-18,123.27,72.47
2021-06-21,124.23,72.76
2021-06-22,123.82,72.36
