data,valor
2025-10-24,0.92
2025-09-25,0.92
2025-08-25,0.92
2025-07-25,0.92
2025-06-25,0.92
2025-05-23,0.92
2025-04-25,0.92
2025-03-25,0.92
2025-02-25,0.92
2025-02-25,0.9188646
2025-02-25,0.2511831
2025-01-24,0.92
2025-01-24,0.2819574
2024-12-23,0.92
2024-11-25,0.92
2024-10-25,0.92
2024-09-25,0.92
2024-08-23,0.92
2024-07-25,0.92
2024-06-25,0.92
2024-05-24,0.92
2024-05-24,0.5399689
2024-05-24,0.1793851
2024-04-25,0.91
2024-03-25,0.9
2024-03-25,0.9
2024-03-25,0.9
2024-02-23,0.9
2024-02-23,0.2375647
2024-01-25,0.92
2023-12-22,0.9
2023-11-24,0.85
2023-10-25,0.85
2023-09-25,0.85
2023-09-25,0.85
2023-08-25,0.84
2023-08-25,0.240856
2023-07-25,0.83
2023-07-25,0.55192373
2023-07-25,0.3474552
2023-07-25,0.15036321
2023-06-23,0.81
2023-05-25,0.81
2023-04-25,0.8
2023-03-24,0.78
2023-02-24,0.77
2023-01-25,0.9
2023-01-25,0.45641113
2022-12-23,0.77
2022-12-23,0.77
2022-12-23,0.77
2022-12-23,0.77
2022-11-25,0.75
2022-11-25,0.8441788
2022-11-25,0.4201307
2022-10-25,0.75
2022-09-23,0.73
2022-08-25,0.7
2022-07-25,0.69
2022-06-24,0.68
2022-05-25,0.68
2022-04-25,0.66
2022-03-25,0.64
2022-02-25,0.6
2022-01-25,0.85
2021-12-23,0.55
2021-11-25,0.5
2021-11-25,0.745049658
2021-11-25,0.939273744
2021-11-25,0.100328894
2021-11-25,0.173759873
2021-10-25,0.57
2021-09-24,0.57
2021-08-25,0.6
2021-07-23,0.52
2021-06-25,0.4
2021-05-25,0.3
2021-04-23,0.15
2021-03-25,0.25
2021-02-25,0.35
2021-01-22,0.678304235
2020-12-23,0.45
2020-11-25,0.42
2020-10-23,0.26
2020-09-25,0.18
2020-08-25,0.03
2020-07-24,0.415052592
2020-06-25,0.27
2020-02-21,0.5
2020-01-24,0.61
2019-12-23,0.52
2019-11-25,0.138790056
2019-11-25,0.59
2019-11-25,0.59
2019-10-25,0.59
2019-10-25,0.59
2019-09-25,0.084058542
2019-09-25,0.298418912
2019-09-25,0.57
2019-08-21,0.57
2019-07-25,0.56
2019-06-25,0.54
2019-05-24,0.510000
2019-04-25,0.540000
2019-03-25,0.600000
2019-03-25,0.078407438
2019-02-21,0.60
2019-01-24,0.884077585
2018-12-21,0.65
2018-12-21,0.65
2018-11-23,0.6
2018-10-25,0.06575798
2018-10-25,0.5
2018-09-25,0.500084396444753
2018-08-24,0.434749953128372
2018-07-25,0.290319029723884
2018-06-25,0.495510991151187
