state,city,inhabitants,area
AC,Acrelândia,12538,1807.92
AC,Assis Brasil,6072,4974.18
AC,Brasiléia,21398,3916.5
AC,Bujari,8471,3034.87
AC,Capixaba,8798,1702.58
AC,Cruzeiro do Sul,78507,8779.39
AC,Epitaciolândia,15100,1654.77
AC,Feijó,32412,27974.89
AC,Jordão,6577,5357.28
AC,Mâncio Lima,15206,5453.07
AC,Manoel Urbano,7981,10634.46
AC,Marechal Thaumaturgo,14227,8191.69
AC,Plácido de Castro,17209,1943.25
AC,Porto Acre,14880,2604.86
AC,Porto Walter,9176,6443.83
AC,Rio Branco,336038,8835.54
AC,Rodrigues Alves,14389,3076.95
AC,Santa Rosa do Purus,4691,6145.61
AC,Sena Madureira,38029,23751.47
