+------------------------------+--------------------+
|             city             |      density       |
+------------------------------+--------------------+
|           Balneário Camboriú | 2337.5648788927333 |
|                     São José | 1376.7570050528252 |
|                     Criciúma |  815.8669551567604 |
|                      Itapema |  792.3356401384084 |
|                       Itajaí |  636.1154473236896 |
|                Florianópolis |  623.6804311455264 |
|                     Blumenau |  595.9710703953713 |
|                   Navegantes |  540.5820389216211 |
|                    Joinville | 457.58229657848705 |
|                        Penha | 427.85908781484005 |
|            Capivari de Baixo | 406.33670791151104 |
|                    Bombinhas |  398.0228348649402 |
|                      Brusque |  372.5125344255349 |
|                      Palhoça |  347.5666236428517 |
|                      Tubarão |  322.2262725344645 |
|                     Camboriú | 293.68465668267874 |
|                      Chapecó |  293.1508162156982 |
|                        Timbó | 288.62726630562753 |
|               Jaraguá do Sul | 270.27797711221064 |
|                   Rio do Sul | 235.05146719926256 |
|                     Imbituba | 219.59219373530857 |
|                 Cocal do Sul | 213.11682834247154 |
|                    Araranguá | 202.14309264754368 |
|                        Içara | 200.41900868676544 |
|              Morro da Fumaça |  194.0086621751684 |
|                      Sombrio |  185.6764110793274 |
|           Balneário Piçarras | 171.79358213459412 |
|                   Porto Belo | 171.77186799102853 |
|                  Barra Velha | 159.78586723768737 |
|                     Garopaba | 157.16142448661296 |
|                      Biguaçu |  156.9444818939251 |
|          São Miguel do Oeste | 155.11407331453472 |
|                       Gaspar | 149.90692383266975 |
|             São Bento do Sul | 149.11588222394994 |
|               Braço do Norte | 136.96780893042575 |
|                   Guaramirim | 130.99441340782124 |
|                     Pomerode |   129.273971964793 |
|                    Maravilha | 129.03432975245212 |
|                  Pinhalzinho | 127.43445692883896 |
|                      Indaial | 127.33350356322106 |
|                       Sangão | 125.46748703100495 |
|                      Videira | 124.09077760538565 |
|                 Forquilhinha |  123.1256484464588 |
|             São João Batista | 118.79665234109929 |
|                      Xanxerê | 116.81490893689116 |
|                       Laguna | 116.76970808705302 |
|                      Joaçaba |   116.350170089997 |
|       Governador Celso Ramos | 110.93189964157706 |
|                      Tijucas |  110.7375348737392 |
|                    Guabiruba | 105.50721318983284 |
|                     Maracajá | 102.52961895613193 |
|                  São Ludgero | 102.10848968976407 |
|    Balneário Arroio do Silva | 100.62985513331932 |
|               Herval d`Oeste |  97.72695900243868 |
|                    Schroeder |   93.1743521109624 |
|                        Xaxim |   87.6738952536825 |
|                    Concórdia |  85.78911836775517 |
|         São Francisco do Sul |  85.27022961997393 |
|                     Capinzal |  85.04914004914005 |
|                       Rodeio |  84.06064804125297 |
|                    Urussanga |  79.34633342488327 |
|       Balneário Barra do Sul |  75.76166082502023 |
|                   Laurentino |  75.43661263977886 |
|                      Caçador |  71.89141411575856 |
|                      Ibirama |  70.06266424095412 |
|              Passo de Torres |  69.67721585532541 |
|                    Canelinha |  69.50052438384898 |
|                      Ascurra |  66.83498647430118 |
|                   Ituporanga |  66.03745585136379 |
|                 Nova Erechim |  65.88072122052705 |
|                     Araquari |  64.61105757962447 |
|                     Gravatal |  64.55235204855842 |
|                   São Carlos |  63.80432760865522 |
|                    Fraiburgo | 63.070183444373455 |
|        São Lourenço do Oeste | 60.452729693741674 |
|             Trombudo Central | 60.329589394218374 |
|                        Lages | 59.558046741402244 |
|                       Itapoá |  59.42997463870215 |
|    Santo Amaro da Imperatriz | 57.616625490481034 |
|            Balneário Gaivota | 56.490120746432495 |
|                   Itapiranga |  54.50654403961797 |
|                        Seara |  54.38838755258679 |
|            Santa Rosa do Sul |  53.32715354565318 |
|                 Lauro Muller |   53.0578329270995 |
|                    Jaguaruna | 52.657225521547126 |
|                      Lontras |  51.97098067069149 |
|                       Mondaí |  50.61093247588424 |
|           Presidente Getúlio | 50.589594590002385 |
|                        Turvo |  50.33118206521739 |
|                  Siderópolis |   49.6751509592601 |
|               Guarujá do Sul | 48.972261025743364 |
|                       Ilhota |  48.85716545397026 |
|                   Cunha Porã | 48.701358296622615 |
|            São José do Cedro |  48.69231042949152 |
|                   Catanduvas | 48.428788646730865 |
|                  Monte Carlo |  48.11905746176105 |
|               Pinheiro Preto |  47.78317643486183 |
|                      Luzerna |  47.30528805541477 |
|                       Imbuia |   46.3832899869961 |
|                    Canoinhas | 46.268853034023145 |
|             Cordilheira Alta |  45.46222544050205 |
|                     Palmitos | 45.445519276048906 |
|                  Nova Veneza | 45.109137744034705 |
|                   Agrolândia |  44.91929655504698 |
|                      Armazém |  44.66528401889618 |
|                       Modelo |  44.39688288881572 |
|                 Rio Negrinho |  43.91663268342683 |
|             Águas de Chapecó |  43.69591646999928 |
|              Coronel Freitas |  43.65089541394196 |
|                     Saudades |  43.63988383349468 |
|                Treze de Maio |  42.53108183336426 |
|              Planalto Alegre |  42.49119436439321 |
|               Iporã do Oeste |  42.10394552373322 |
|                  Três Barras | 41.432032178444096 |
|                Pouso Redondo |    41.208714766688 |
|                       Salete |  41.09283523836075 |
|                 Salto Veloso |  40.93461501855906 |
|                   Luiz Alves | 40.164691396028935 |
|                    Bom Jesus |  39.79832991964708 |
|                  Curitibanos |  39.78750764171427 |
|                  Porto União |  39.62074431589656 |
|                 Massaranduba | 39.226903336184776 |
|           Dionísio Cerqueira | 39.059574355863816 |
|                      Orleans |   38.9821243098453 |
|                          Itá |  38.74819102749638 |
|            Braço do Trombudo | 38.275022143489814 |
|              São João do Sul | 38.187172774869104 |
|                        Mafra | 37.685804434378184 |
|                   Agronômica |   37.5699073010036 |
|                      Meleiro |  37.42114829466481 |
|                Arroio Trinta |  37.13679745493107 |
|            São João do Oeste |  36.96264543784446 |
|                     Quilombo |  36.56604581460073 |
|                   Serra Alta |   35.5711965349215 |
|                        Caibi |  35.56966369251887 |
|                     Atalanta | 35.035566408323604 |
|                    Tunápolis | 34.774450198904155 |
|                         Ouro |    34.501801843965 |
|                       Corupá | 34.390128851262446 |
|                 Treze Tílias | 33.974496356622375 |
|                     Cunhataí |  33.74574143804913 |
|       São Pedro de Alcântara |  33.59520068561634 |
|                     Piratuba |  32.78531305658309 |
|               Antônio Carlos |  32.61753772140826 |
|                         Ermo | 32.313997477931906 |
|                     Princesa |  32.01392919326756 |
|                 Lacerdópolis | 31.920452895921034 |
|                  Águas Frias | 31.836091410559494 |
|           Bom Jesus do Oeste |  31.77820837680727 |
|                   Guaraciaba |  31.77649302297424 |
|                      Arabutã | 31.564287865100873 |
|               União do Oeste | 31.418700064780822 |
|           Faxinal dos Guedes |  31.38357374153665 |
|               Caxambu do Sul | 31.348162888209792 |
|                     Peritiba | 31.176961602671117 |
|               Nova Itaberaba | 31.021446746637583 |
|                        Ipira | 30.743352526363463 |
|                    Tigrinhos | 30.324473593372456 |
|                  Nova Trento | 30.256397527861203 |
|                     Descanso | 30.174040679387712 |
|                       Garuva |  29.40613980915194 |
|                        Irani | 29.259532142199298 |
|                     Ipumirim | 29.187047742248453 |
|                 Santa Helena |  29.15544675642595 |
|                   Entre Rios | 28.866571018651364 |
|                 Rio do Oeste | 28.610629111012468 |
|                     Belmonte |  28.52040264097846 |
|                       Galvão |  28.46835027877993 |
|                     Anchieta |  27.94079004992555 |
|               Flor do Sertão |  26.96552895228392 |
|                       Aurora |  26.85736411596728 |
|                        Irati |  26.77567705671947 |
|      São Miguel da Boa Vista | 26.662932362414228 |
|                Benedito Novo | 26.584362139917694 |
|   Presidente Castello Branco | 26.291723822588022 |
|                 Jardinópolis | 26.093380614657207 |
|                       Ipuaçu | 26.056958871555064 |
|                   Iraceminha | 26.055259449856035 |
